;id;text
0;2329bf02-8d29-4b0d-b16b-c12f50314931;"Name: RasterPaletteResolver
Category: Rasters
Description: Name: RasterPaletteResolver Category: Rasters Description: erGeoreferencer
Georeferences a raster by either known corner coordinates or origin, cell size, and rotation.
RasterHillshader
Generates a grayscale shaded relief representation of terrain, based on elevation values.
RasterInterpretationCoercer
Alters the interpretation type of rasters, including all bands, and converts cell values if necessary.
RasterMosaicker
Merges multiple raster features into a single raster feature.
RasterPropertyExtractor
Extracts the geometry properties of a raster feature and exposes them as attributes.
RasterPyramider
Resamples rasters to
Related Transformers: RasterPaletteAdder, RasterPaletteExtractor, RasterPaletteGenerator, RasterPaletteRemover"
1;fea7a481-edcb-4c3d-9fe8-840ba25c5cb0;"Name: RasterGCPExtractor
Category: Coordinates, Rasters
Description: Name: RasterGCPExtractor Category: Coordinates, Rasters Description: Usage Notes
Related Transformers: RasterGCPSetter"
2;dd898564-341b-45f5-9619-ee19505ad54e;"Name: RasterMosaicker
Category: Filters and Joins, Rasters
Description: Name: RasterMosaicker Category: Filters and Joins, Rasters Description: rectly inside a parameter.
Arithmetic Editor

Conditional Values

Set values depending on one or more test conditions that either pass or fail.
Parameter Condition Definition Dialog

Content

Expressions and strings can include a number of functions, characters, parameters, and more.
When setting values - whether entered directly in a parameter or constructed using one of the editors - strings and expressions containing String, Math, Date/Time or FME Feature Functions will have those functions evaluated. Therefore, the names of these functions (in the form @<function_name>) sho
Related Transformers: RasterConvolver, RasterGeoreferencer, RasterPyramider, RasterResampler, RasterRotationApplier, RasterSelector, RasterSubsetter, RasterTiler, WebMapTiler"
3;92463f76-c130-40cd-9a4a-37a71374fd3d;"Name: RasterCellValueReplacer
Category: Rasters
Description: Name: RasterCellValueReplacer Category: Rasters Description: lue are considered valid data.
RasterBandNodataSetter
Sets a new Nodata value on selected bands of a raster feature.
RasterBandOrderer
Specifies the required order of bands in a raster. Bands are reordered according 
 to the input band indices.
RasterBandPropertyExtractor
Extracts the band and palette properties of a raster feature and exposes them as attributes.
RasterBandRemover
Removes any selected bands from a raster feature.
RasterBandSeparator
Separates bands or unique band and palette combinations, and outputs either individual raster features or a single new 
Related Transformers: RasterCellValueCalculator, RasterCellValueRounder, RasterExpressionEvaluator, RasterSingularCellValueCalculator"
4;db039908-7b39-4ed0-a7de-f62abdcb9400;"Name: Emailer
Category: Integrations, Web
Description: Name: Emailer Category: Integrations, Web Description: Input Ports

This transformer accepts any feature. One email will be sent for each feature that is received by the transformer.

Output Ports

Each input feature that results in a successfully sent email is output unchanged via this port.
Each input feature whose email could not be sent is output via this port. Anfme_rejection_codeattribute, having the valueERROR_DURING_PROCESSING, will be added, along with a more descriptivefme_rejection_messageattribute which contains more specific details as to the reason for the failure.

Parameters

Email Service
Select th
Related Transformers: "
5;bf0b84b4-f930-44f5-922f-157daebcc470;"Name: CsmapReprojector
Category: Coordinates, Integrations
Description: Name: CsmapReprojector Category: Coordinates, Integrations Description: ).
If theDestination Coordinate Systemis geocentric, coordinates will be converted to geocentric after being processed.
Example:
LL + orthometric height (datum A) -> LL + ellipsoid height (datum A) -> LL + ellipsoid height (datum B) [-> Geocentric (datum B)]
NAD27 heights in NGVD29; NAD83 heights in NAVD88
VERTCON will be used to convert between NAD27 (NGVD29) and NAD83 (NAVD88). Z values have the same units as the horizontal units (or meters, for geographic coordinate systems).
Geoid Height Grid
IfVertical Handlingincludes an Orthometric height, specify the Geoid height grid f
Related Transformers: AttributeReprojector, CommonLocalReprojector, CsmapAttributeReprojector, EsriReprojector, GridInQuestIIReprojector, GtransAttributeReprojector, GtransReprojector, PROJAttributeReprojector, PROJReprojector, ReframeReprojector, ReprojectAngleCalculator, ReprojectLengthCalculator, Reprojector"
6;02bd6f32-9127-42ec-b5d6-6a0df962d72d;"Name: HTMLToXHTMLConverter
Category: 
Description: Name: HTMLToXHTMLConverter Category:  Description: he table to its initial state, and may provide additional options to remove invalid entries. Behavior varies between transformers.
Note:Not all tools are available in all transformers.

FME Community

TheFME Communityis the place for demos, how-tos, articles, FAQs, and more. Get answers to your questions, learn from other users, and suggest, vote, and comment on new features.
Search forall results about the HTMLToXHTMLConverteron theFME Community.
Related Transformers: "
7;f347d594-2e73-4914-b078-cb56cb09fbfa;"Name: ArcPropertyExtractor
Category: Calculated Values
Description: Name: ArcPropertyExtractor Category: Calculated Values Description: ary radius in ground units of the feature’s coordinate system.
Secondary Radius
Name the attribute to contain the length of the secondary radius in ground units of the feature’s coordinate system.
Rotation
Name the attribute to contain the rotation angle.
Rotation is measured in degrees from the horizontal axis to the primary axis in a counterclockwise direction.
Start Angle
Name the attribute to contain the starting angle of the arc, in degrees counterclockwise from the primary axis (horizontal plus or minus rotation).
Sweep Angle
Name the attribute to contain the sweep an
Related Transformers: 2DEllipseReplacer, 2DArcReplacer, 3DArcReplacer, ArcEstimator, ArcPropertySetter, ArcStroker, Creator, Curvefitter, EllipsePropertyExtractor, EllipsePropertySetter"
8;41b00e42-92cd-4dda-9a7f-10682a545c4b;"Name: PointCloudSurfaceBuilder
Category: 3D, Geometries, Point Clouds
Description: Name: PointCloudSurfaceBuilder Category: 3D, Geometries, Point Clouds Description: ndition Definition Dialog

Content

Expressions and strings can include a number of functions, characters, parameters, and more.
When setting values - whether entered directly in a parameter or constructed using one of the editors - strings and expressions containing String, Math, Date/Time or FME Feature Functions will have those functions evaluated. Therefore, the names of these functions (in the form @<function_name>) should not be used as literal string values.
String Functions
Special Characters
Math Functions
Math Operators
FME Feature Functions
FME Parameters

Dialog Options - Tabl
Related Transformers: "
9;f9eb35ee-c951-47d2-8bf4-36a4fd8600da;"Name: RasterReplacer
Category: Rasters
Description: Name: RasterReplacer Category: Rasters Description: lculator
Evaluates basic arithmetic , minimum, maximum or average operations on the cell values of a pair of rasters.
RasterCellValueReplacer
Replaces a range of band values in a raster with a new single value.
RasterCellValueRounder
Rounds off raster cell values.
RasterSegmenter
Partitions a raster image into arbitrarily sized groups of cells from the input image based on intensity differences in the input raster image cells.
RasterSingularCellValueCalculator
Performs basic arithmetic operations on the cell values of a raster against a numeric value.
Raster
Related Transformers: AttributeFileReader, GeometryExtractor, GeometryRemover, GeometryReplacer, PointCloudExtractor, PointCloudReplacer, RasterExtractor"
